RD,Region,"<1""","2""","3""","4""","5""","6""","7""","8""","9""","10""","11""","12""","12""+ ", Salting  ,Flat Monthly Cost ,,Vendor ,Notes
RD103,North,$0.00 ,$495.00 ,$495.00 ,$495.00 ,$634.50 ,$634.50 ,$634.50 ,$634.50 ,$634.50 ,$634.50 ,$990.00 ,$990.00 ,,$465.00 ,,,Tranquil Gardens ,"Reoccuring 12"" blizard will be charged $1,185.00"
RD105,North,$185.00 ,$185.00 ,$185.00 ,$225.00 ,$225.00 ,$225.00 ,$225.00 ,$225.00 ,$295.00 ,$295.00 ,$295.00 ,$295.00 ,$295.00 ,$157.50 ,,,Pete's Snow Removal ,
RD109,Central, $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $300.00 ,,,,
RD113,Central, $-   , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $500.00 , $250.00 ,,,,
RD114,Central, $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $300.00 , $175.00 ,,,,
RD122,Central, $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $425.00 , $200.00 ,,,,
RD123,Central, $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $550.00 , $300.00 ,,,,
RD126,Central, $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , N/A ,,,,
RD127,Central, $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , N/A ,,,,
RD128,Central, $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , N/A ,,,,
RD129,Central, $215.00 , $215.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $315.00 , $670.00 ,,,,
RD132,Central, $-   , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $375.00 , $600.00 ,,,,
RD134,Central, $125.00 , $150.00 , $150.00 , $180.00 , $180.00 , $215.00 , $215.00 , $260.00 , $260.00 , $260.00 , $260.00 , $260.00 , $260.00 , $200.00 ,,,,
RD135,Central, $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , $360.00 , N/A ,,,,
RD144,Central, $-   , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 ,,,,,
RD145,North,$0.00 ,$300.00 ,$300.00 ,$300.00 ,$300.00 ,$300.00 ,$500.00 ,$500.00 ,$500.00 ,$500.00 ,$500.00 ,$750.00 ,$750.00 ,$300 ,,,Gose Groundskeeping ,
RD148,North,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,$550.00 ,N/A,,,Koch Landscaping ,
RD149,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$950.42 ,,A&N Lawn Care ,
RD150,North,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,$390.00 ,N/A,,,Nicholas Lawn Care ,Salt is included in $390 plow 
RD151,North,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,"$2,574.16 ",,Chris Johnson ,Cost per month includes salt 
RD153,Central, $-   , $480.00 , $640.00 , $800.00 , $960.00 ," $1,120.00 "," $1,280.00 "," $1,440.00 "," $1,600.00 "," $1,760.00 "," $1,920.00 "," $2,080.00 "," $2,240.00 ", $515.00 ,,,,
RD158,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$1,483 ",,Greenfield ,Cost per month includes salt 
RD164,North,$0 ,"$1,185 ","$1,185 ","$1,185 ","$1,185 ","$1,185 ","$1,779 ","$1,779 ","$1,779 ","$1,779 ","$1,779 ","$1,779 ",,$500 ,,,Peroria Lawn Care ,
RD167,Central, $-   , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $250.00 , $375.00 ,,,,
RD168,North,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$105.00 ,$25.00 ,,,Empire Snow Management Inc,
RD169,North,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$275.00 ,$147.00 ,,,ASHAR,
RD172,Central, $-   , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $475.00 , $235.00 ,,,,
RD173,Central, $-   , $665.00 , $665.00 , $795.00 , $795.00 , $985.00 , $985.00 , $985.00 , $985.00 , $985.00 , $985.00 , $985.00 , $985.00 , $285.00 ,,,,
RD174,Central,,,,,,,,,,,,,, $400.00 ,,,,
RD175,North,$199.00 ,$199.00 ,$199.00 ,$298.50 ,$298.50 ,$298.50 ,$388.00 ,$388.00 ,$388.00 ,$388.00 ,$410 ,$410 ,$410 ,$98.00 ,,,Atwater Propety Mangement  ,
RD176,North,$0.00 ,$517.00 ,$517.00 ,$728.00 ,$728.00 ,$728.00 ,$985.00 ,$985.00 ,$985.00 ,$985.00 ,$985.00 ,$985.00 ,$985.00 ,$175.00 ,,,Toledo Snow Removal ,
RD177,North,$0.00 ,$450.00 ,$450.00 ,$607.00 ,$607.00 ,$607.00 ,$788.50 ,$788.50 ,$788.50 ,$788.50 ,$788.50 ,$788.50 ,$788.50 ,$175.00 ,,,Toledo Snow Removal ,
RD178,North,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,$250.00 ,,,,Brock N Sons ,
RD182,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$1,800 ",,Greenfield ,Cost per month includes Salt
RD183,North,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$1,300 ",,Greenfield ,Cost per month includes Salt
RD185,North,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$235.00 ,$200.00 ,,,Indians Springs Mulch ,
RD186,North,$115.00 ,$115.00 ,$700.00 ,$700.00 ,$700.00 ,$925.00 ,$925.00 ,$925.00 ,,,,,,,,,Danielson Construction ,
RD190,North,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,$320.00 ,,,,Thornsley Tree and Landscape LLC ,Cost per push includes salt 
RD195,North,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$135.00 ,$50.00 ,,,J & F Lawn and Snow ,
RD196,North,$762.46 ,$762.46 ,$762.46 ,$762.46 ,$762.46 ,$962.46 ,$962.46 ,$962.46 ,$962.46 ,$962.46 ,$962.46 ,$962.46 ,,$350.00 ,,,Bedwell ,"12"" and beyond(blizzard $150 per hour plus cost of salt "
RD200,North,,,,,,,,,,,,,,,,,,
